ID; Error; A; n; w_PIGM; w_opt; wlse_PIGM; wlse_opt; wlse_sig; Sum(w_opt) 
11 ; 0 ; 1,1/2,5,1/9,1/2,1,5,1/2,1/6,1/8,5,1/4,3,3,7,9,1/8,1/6,1/7,1/2,8,1/2,4,1,3,1/9,1/6,8,1/2,5,4,6,3,8,1/3,1/9,2,3,9,1/9,1/7,1/2,8,8,1/8,1,9,5,7,1/3,2,2,1/2,6,4,1/5,1,1,1/6,1/3,6,4,1,1/3,8,8,8,1/8,3,3,1/6,7,3,3,4,1/9,1/6,9,2,7,2,3,1/6,4,1/4,1,1/2,1/3,8,1/9,1,1/4,1/6,3,1/5,9,1/5,5,1/9,1/9,1/7,2,1,1/5,5 ; 15 ; 0.0564,0.0481,0.0822,0.0378,0.1334,0.1101,0.0577,0.0627,0.0356,0.0571,0.0523,0.0332,0.074,0.0764,0.0831 ; 0.0564,0.0481,0.0822,0.0378,0.1334,0.1101,0.0577,0.0627,0.0356,0.0571,0.0523,0.0332,0.074,0.0764,0.0831 ; 8.397748 ; 8.397748 ; 8.3977 ; 1 
12 ; 0 ; 3,1/2,1/8,3,1/5,1/2,7,4,9,1/2,1,9,1,1/6,2,1,9,9,1,1/4,1/5,5,1/8,3,7,1/5,9,5,1,4,4,2,2,3,1/8,8,5,4,8,1/8,1/6,1/8,1/5,1/3,1/6 ; 10 ; 0.0921,0.1308,0.0825,0.0859,0.0462,0.3202,0.0363,0.0566,0.1032,0.0463 ; 0.0921,0.1308,0.0825,0.0859,0.0462,0.3202,0.0363,0.0566,0.1032,0.0463 ; 5.275245 ; 5.275245 ; 5.2752 ; 1 
13 ; 0 ; 8,1/3,1/5,3,7,1/6,1/9,3,2,1/8,1/7,3,1/2,8,1/5 ; 6 ; 0.1656,0.0506,0.0713,0.54,0.1062,0.0663 ; 0.1656,0.0506,0.0713,0.54,0.1062,0.0663 ; 2.199973 ; 2.199973 ; 2.2 ; 1 
14 ; 0 ; 9,8,8,4,1/4,3,1/6,1/9,6,8,7,5,8,6,4,3,1/8,1/7,1/2,1/2,3,7,7,4,1/8,9,1/4,1/2,3,1/5,1/7,1/2,1/8,1/8,1/4,1/2 ; 9 ; 0.109,0.1666,0.0604,0.0773,0.0832,0.0709,0.0822,0.2295,0.121 ; 0.109,0.1666,0.0604,0.0773,0.0832,0.0709,0.0822,0.2295,0.121 ; 9.305633 ; 9.305633 ; 9.3056 ; 1 
15 ; 0 ; 1/6,1/7,1/2,1/2,3,2,2,1/7,7,1/9,1/6,9,6,1,1/8,1,3,1/4,7,6,1/2 ; 7 ; 0.1119,0.0779,0.1714,0.114,0.134,0.1421,0.2486 ; 0.1119,0.0779,0.1714,0.114,0.134,0.1421,0.2486 ; 7.703071 ; 7.703071 ; 7.7031 ; 1 
16 ; 0 ; 1/8,8,1/7,1/6,1/6,7,3,1/8,1/2,8,4,1/6,8,1/2,9,1/3,6,1/7,1/4,6,7,6,1,1/2,6,1/9,1/8,8,2,7,1/9,1/7,1/8,5,1/3,1/3,1/2,8,1/4,3,5,8,1/4,1/7,1/5,1,1/2,8,1/5,1/2,6,1,6,5,1/8 ; 11 ; 0.062,0.1216,0.0653,0.0688,0.0676,0.1066,0.0615,0.1546,0.1029,0.0787,0.1105 ; 0.062,0.1216,0.0653,0.0688,0.0676,0.1066,0.0615,0.1546,0.1029,0.0787,0.1105 ; 10.33621 ; 10.33621 ; 10.3362 ; 1 
17 ; 0 ; 9,3,8,1/7,6,8,1/8,5,1/9,8,1/7,4,1/4,1/8,1,3,7,3,7,2,7,2,1/4,1/7,9,1/7,9,9,1/8,7,1,2,1/5,5,3,8,2,8,1/2,5,1/5,8,9,1,1 ; 10 ; 0.0822,0.0703,0.0969,0.088,0.0808,0.2533,0.0574,0.1153,0.0754,0.0806 ; 0.0822,0.0703,0.0969,0.088,0.0808,0.2533,0.0574,0.1153,0.0754,0.0806 ; 10.36312 ; 10.36312 ; 10.3631 ; 1 
18 ; 0 ; 5,1/8,9,6,1/9,1/4,3,1/2,1/5,6,1/8,7,2,1/9,4,1/8,1/4,9,7,6,1,1/6,1/2,1/9,1/6,1/8,1/9,1/2 ; 8 ; 0.0976,0.1252,0.0993,0.1271,0.0644,0.0955,0.2408,0.15 ; 0.0976,0.1252,0.0993,0.1271,0.0644,0.0955,0.2408,0.15 ; 11.00474 ; 11.00474 ; 11.0047 ; 1 
19 ; 0 ; 1,1/6,8,1,1/9,1/7,1/7,1/5,1/7,9,3,2,1/6,9,8,2,1/6,7,5,6,6,3,4,4,6,1/9,5,1/6 ; 8 ; 0.0644,0.112,0.304,0.0988,0.0817,0.0868,0.1395,0.1128 ; 0.0644,0.112,0.304,0.0988,0.0817,0.0868,0.1395,0.1128 ; 8.758328 ; 8.758328 ; 8.7583 ; 1 
20 ; 0 ; 5,1/6,1/3,1,6,1/6,1/2,1/4,1/2,1/3,1/3,4,1/3,1/6,3,1/6,3,8,1/3,1/7,1/9,4,6,1/5,9,2,7,1/7,3,1/5,1/8,3,8,5,1/4,6,8,9,5,1/8,1/3,9,1/6,3,5,1/3,1,1/2,1/9,1/3,7,1/2,1/3,3,3,1/2,6,1/9,1/6,7,6,4,1/7,1/9,5,8,6,1/4,1/8,1/6,1,1/3,1,9,1,2,3,2,1,1/6,1/8,7,2,9,1/2,1/5,5,6,1/5,1/5,1/9,6,1/7,1/3,1/4,1/2,1/2,3,9,3,1/8,1/5,1/6,1/3,7 ; 15 ; 0.0644,0.0551,0.076,0.0584,0.0723,0.037,0.0675,0.0878,0.0697,0.0513,0.1407,0.0352,0.0379,0.1069,0.0398 ; 0.0644,0.0551,0.076,0.0584,0.0723,0.037,0.0675,0.0878,0.0697,0.0513,0.1407,0.0352,0.0379,0.1069,0.0398 ; 8.068386 ; 8.068386 ; 8.0684 ; 1 
21 ; 0 ; 1/3,2,1 ; 3 ; 0.2317,0.5037,0.2646 ; 0.2317,0.5037,0.2646 ; 0.2656748 ; 0.2656748 ; 0.2657 ; 1 
22 ; 0 ; 1/2,4,2,1/5,1/2,1/3,2,1/3,5,9,2,1/8,4,1/5,5,7,3,2,1/3,1/3,1/9,5,1/2,7,1/9,1/6,8,1/6,1/2,1/3,1/8,1/2,8,3,9,7,1/7,4,6,5,7,1/9,5,9,1/2,1/7,1,1/6,7,4,2,6,1,1/7,1/3,8,1/3,1/4,1/6,6,1,5,1,1/2,8,1/7 ; 12 ; 0.1833,0.063,0.0674,0.0771,0.1386,0.0609,0.0653,0.0693,0.0789,0.0801,0.0536,0.0625 ; 0.1833,0.063,0.0674,0.0771,0.1386,0.0609,0.0653,0.0693,0.0789,0.0801,0.0536,0.0625 ; 8.302273 ; 8.302272 ; 8.3023 ; 1 
23 ; 0 ; 1/8,1/2,5,3,1/9,3,3,1/5,9,7,1/5,7,1,4,1/8,5,1/9,8,1/5,1,7,9,4,3,1/8,2,1/8,1/7,1/6,4,2,9,1/8,3,1,1/3,7,3,5,1/7,2,9,4,5,1,6,9,1/9,1/8,2,1/3,2,2,4,1,6,6,1/3,7,1/3,4,1/5,1/5,1/5,1/5,9,6,3,5,5,6,1/2,1/5,9,1/2,6,9,1/2,7,1/7,1/9,1/9,1/9,6,6,2,1/7,1,4,2,1 ; 14 ; 0.0625,0.0586,0.0501,0.1397,0.0549,0.0805,0.0698,0.1261,0.0664,0.0229,0.0529,0.0582,0.0733,0.084 ; 0.0625,0.0586,0.0501,0.1397,0.0549,0.0805,0.0698,0.1261,0.0664,0.0229,0.0529,0.0582,0.0733,0.084 ; 8.513598 ; 8.513598 ; 8.5136 ; 1 
24 ; 0 ; 1/4,9,5 ; 3 ; 0.2172,0.7266,0.0562 ; 0.2172,0.7266,0.0562 ; 0.3123046 ; 0.3123046 ; 0.3123 ; 1 
25 ; 0 ; 3,6,1/9,1/6,1/4,1/4,1/5,2,9,7 ; 5 ; 0.0827,0.0956,0.147,0.6038,0.071 ; 0.0827,0.0956,0.147,0.6038,0.071 ; 2.854157 ; 2.854157 ; 2.8542 ; 1 
26 ; 0 ; 1/5,8,4,1/9,1,2,3,1/2,1/8,5,5,1,9,6,1/2,6,1/7,4,9,8,1/2 ; 7 ; 0.1271,0.1819,0.1637,0.1795,0.1357,0.0958,0.1162 ; 0.1271,0.1819,0.1637,0.1795,0.1357,0.0958,0.1162 ; 9.645376 ; 9.645376 ; 9.6454 ; 1 
27 ; 0 ; 1/3,1/9,1/8 ; 3 ; 0.0844,0.1044,0.8112 ; 0.0844,0.1044,0.8112 ; 0.02788194 ; 0.02788194 ; 0.0279 ; 1 
28 ; 0 ; 1/5,7,4,1/4,1/8,1/5,1/9,2,5,1,1,9,5,2,1/9,1/5,1/6,6,1/6,2,1,1/4,5,7,7,7,1/7,1/6,1/7,7,1/2,1,1/3,6,1/6,7,1/8,1,5,1,2,1/6,6,1/3,1/3 ; 10 ; 0.0516,0.0706,0.0783,0.0536,0.0477,0.0697,0.0761,0.4183,0.076,0.0582 ; 0.0516,0.0706,0.0783,0.0536,0.0477,0.0697,0.0761,0.4183,0.076,0.0582 ; 4.742916 ; 4.742916 ; 4.7429 ; 1 
29 ; 0 ; 7,1,3,4,1/9,1,3,1/4,1/6,8,6,1/5,3,4,4,3,5,1/6,4,1/4,1/8,1,1/2,1,4,1/9,1/5,1/9 ; 8 ; 0.107,0.0828,0.2227,0.0893,0.0821,0.0715,0.1031,0.2415 ; 0.107,0.0828,0.2227,0.0893,0.0821,0.0715,0.1031,0.2415 ; 6.316492 ; 6.316492 ; 6.3165 ; 1 
30 ; 0 ; 1/7,5,1/5,1/2,1/2,1,1/4,6,1,1/9,1/8,1/7,5,1,1/5,5,8,2,1/8,4,5,2,1/4,1/7,1/4,6,6,1/2 ; 8 ; 0.0975,0.064,0.1163,0.1439,0.1317,0.2232,0.0868,0.1366 ; 0.0975,0.064,0.1163,0.1439,0.1317,0.2232,0.0868,0.1366 ; 6.884101 ; 6.884101 ; 6.8841 ; 1 
31 ; 0 ; 2,9,1/8,3,2,4,1/8,1/8,1/9,1/8,1/9,6,1,5,2 ; 6 ; 0.0977,0.038,0.0362,0.5403,0.2168,0.071 ; 0.0977,0.038,0.0362,0.5403,0.2168,0.071 ; 1.089201 ; 1.089201 ; 1.0892 ; 1 
32 ; 0 ; 5,7,1/9,1/8,2,1,5,7,1/3,3,1/7,9,1/6,8,4,3,1/8,1/3,1/8,1/9,1/4,1/2,5,1,1/4,3,1/8,1,1/8,5,1/2,8,9,1/4,4,1/9,1/8,7,4,4,1/4,1/7,7,1/8,4,4,1/6,5,3,3,1/7,1,7,1/7,1/5 ; 11 ; 0.0825,0.0585,0.0597,0.0822,0.0921,0.0633,0.1169,0.1153,0.0548,0.0667,0.208 ; 0.0825,0.0585,0.0597,0.0822,0.0921,0.0633,0.1169,0.1153,0.0548,0.0667,0.208 ; 9.118912 ; 9.118912 ; 9.1189 ; 1 
33 ; 0 ; 8,1/2,6,1/4,5,9,1,1/2,1/9,1/4,8,2,1/2,1/4,1/2,5,2,1/3,5,6,1,1/7,1/5,4,2,7,3,1/9,5,1/9,4,1/4,1/4,5,7,9 ; 9 ; 0.2142,0.053,0.3525,0.0613,0.0347,0.0965,0.065,0.0824,0.0405 ; 0.2142,0.053,0.3525,0.0613,0.0347,0.0965,0.065,0.0824,0.0405 ; 3.890763 ; 3.890763 ; 3.8908 ; 1 
34 ; 0 ; 2,6,7,1/3,1,1,1,1/2,8,1,9,1,1/5,8,5,8,1/7,3,7,5,2,1/2,1/8,1/4,1/8,7,5,3,1/8,5,1/5,3,1/4,1/9,3,6,1/5,4,1/6,3,7,1/8,1/8,8,4,7,1/6,1/7,1/8,6,2,1/6,6,1,6,1/5,9,1/2,8,1/5,1/9,1/7,1/3,2,6,7,1/8,1/7,1/9,1/8,8,9,2,1/8,1,1/6,9,1/4,1/8,1/9,4,1/6,1/7,6,1/3,1,1,3,4,1/7,2 ; 14 ; 0.1393,0.0425,0.0339,0.036,0.0357,0.043,0.0404,0.0316,0.0261,0.0243,0.3619,0.0423,0.0853,0.0577 ; 0.1393,0.0425,0.0339,0.036,0.0357,0.043,0.0404,0.0316,0.0261,0.0243,0.3619,0.0423,0.0853,0.0577 ; 5.080149 ; 5.080149 ; 5.0801 ; 1 
35 ; 0 ; 3,1,1/9,1/4,1/5,9 ; 4 ; 0.0505,0.1011,0.7389,0.1095 ; 0.0505,0.1011,0.7389,0.1095 ; 1.482826 ; 1.482826 ; 1.4828 ; 1 
36 ; 0 ; 6,3,8,9,1/7,2,1/7,1,6,8,2,1/2,1/2,2,2,1/7,8,5,1/3,1/3,7,1/2,1,7,3,1/9,8,4,1,1/7,8,7,1/8,7,1/4,8 ; 9 ; 0.1288,0.2314,0.1148,0.0678,0.0672,0.0872,0.0828,0.1112,0.1089 ; 0.1288,0.2314,0.1148,0.0678,0.0672,0.0872,0.0828,0.1112,0.1089 ; 9.018197 ; 9.018197 ; 9.0182 ; 1 
37 ; 0 ; 9,1/2,1/3,8,1/7,1/5,5,1,1/4,5,2,1/3,1/6,1/3,3 ; 6 ; 0.1087,0.0566,0.3306,0.0657,0.0801,0.3582 ; 0.1087,0.0566,0.3306,0.0657,0.0801,0.3582 ; 2.517755 ; 2.517755 ; 2.5178 ; 1 
38 ; 0 ; 5,6,3,8,6,3,1/6,9,1/8,1/2,3,3,7,1/7,1/7,4,1/7,1/9,1/4,1/8,2 ; 7 ; 0.5484,0.0426,0.0519,0.0261,0.0386,0.1355,0.157 ; 0.5484,0.0426,0.0519,0.0261,0.0386,0.1355,0.157 ; 1.172169 ; 1.172169 ; 1.1722 ; 1 
39 ; 0 ; 1/9,1,1/5,6,7,2,6,1/9,6,1/2,1/2,1/6,1/6,1/2,1/9,9,1/6,1/3,1/5,7,1/3,1/6,9,1,2,2,1/9,7,1/3,1/4,1/2,8,3,1/4,1/4,1/7,1,1/7,6,1/9,1,1/5,3,9,1 ; 10 ; 0.0731,0.0694,0.1459,0.1133,0.1537,0.0656,0.0795,0.1382,0.0776,0.0838 ; 0.0731,0.0694,0.1459,0.1133,0.1537,0.0656,0.0795,0.1382,0.0776,0.0838 ; 9.218213 ; 9.218213 ; 9.2182 ; 1 
40 ; 0 ; 1,1/2,7,1,7,1/6,1/4,1/4,1,3,1,7,7,1/9,1/9,1/3,3,1/6,1/6,1/7,1/9,1/6,6,2,1/4,1/6,7,1/6,4,1/8,1,1/3,1/2,4,7,6 ; 9 ; 0.1235,0.069,0.052,0.0687,0.0896,0.0509,0.1698,0.2496,0.1268 ; 0.1235,0.069,0.052,0.0687,0.0896,0.0509,0.1698,0.2496,0.1268 ; 6.186649 ; 6.186649 ; 6.1866 ; 1 
41 ; 0 ; 1/8,8,1/3,9,1/6,3 ; 4 ; 0.1201,0.2496,0.0663,0.564 ; 0.1201,0.2496,0.0663,0.564 ; 4.685131 ; 4.685131 ; 4.6851 ; 1 
42 ; 0 ; 3,1/2,1/5,4,1/3,1,2,3,1/6,6,3,1/9,4,5,9,1/6,1,7,1,2,9,1/5,1,5,2,1,1/7,7,8,1/6,5,6,1/8,1,8,2 ; 9 ; 0.1889,0.0843,0.2091,0.1451,0.0887,0.0922,0.0778,0.0658,0.0481 ; 0.1889,0.0843,0.2091,0.1451,0.0887,0.0922,0.0778,0.0658,0.0481 ; 6.255317 ; 6.255317 ; 6.2553 ; 1 
43 ; 0 ; 1/3,1/7,1/7,1/8,1/6,1/7,3,8,2,1/5,1/8,4,2,8,9,1/8,1/2,9,1/2,8,1/9,1/2,2,8,1/7,1/2,1,1/6,9,6,8,1/5,1/8,1/2,8,2 ; 9 ; 0.055,0.1365,0.079,0.1869,0.2664,0.0626,0.0935,0.0648,0.0553 ; 0.055,0.1365,0.079,0.1869,0.2664,0.0626,0.0935,0.0648,0.0553 ; 8.284705 ; 8.284705 ; 8.2847 ; 1 
44 ; 0 ; 7,5,1/2,1/9,1/7,1/5,1/2,2,4,4 ; 5 ; 0.0762,0.0572,0.1833,0.5086,0.1747 ; 0.0762,0.0572,0.1833,0.5086,0.1747 ; 2.55884 ; 2.55884 ; 2.5588 ; 1 
45 ; 0 ; 1/6,1/6,1/3,1/5,1/9,6,6,1/4,8,1/4,1/5,2,1/8,1/8,1/7,3,6,1/4,9,2,9,6,1/5,7,1/7,4,1/2,1/3,8,6,1/2,6,1/3,1/6,3,3,1/6,6,1/9,1/7,1/7,2,3,1,8,7,7,1/8,3,7,6,5,1/2,1/7,1,1/6,3,1/9,5,1/6,1/5,1/6,6,1/7,2,3 ; 12 ; 0.0575,0.0708,0.1358,0.104,0.0732,0.0983,0.0715,0.0506,0.1378,0.0613,0.0913,0.0479 ; 0.0575,0.0708,0.1358,0.104,0.0732,0.0983,0.0715,0.0506,0.1378,0.0613,0.0913,0.0479 ; 9.303668 ; 9.303668 ; 9.3037 ; 1 
46 ; 0 ; 1/8,5,1/3,1,4,8,1/9,2,4,8,6,1/3,1,5,9,4,6,1,5,1/6,2,1/3,1/6,1,1/8,4,1/2,1/9,4,1/2,1/4,1/6,9,1/6,4,8 ; 9 ; 0.0616,0.3824,0.0902,0.0496,0.0497,0.0966,0.0563,0.1757,0.0379 ; 0.0616,0.3824,0.0902,0.0496,0.0497,0.0966,0.0563,0.1757,0.0379 ; 3.662149 ; 3.662149 ; 3.6621 ; 1 
47 ; 0 ; 1/6,1/7,1/5,1/7,1,1/7,1,5,1,1/8,5,1/2,1/2,1,1/5,1/5,6,5,5,1/6,1/3,1/9,1/5,2,7,1/7,1/8,8,1,1,1/8,8,8,1/9,1/5,5,1/7,1/2,1/7,1/6,1/9,1/6,1/9,1/7,1/6,1/2,5,3,4,1/5,3,5,3,7,4,1,7,7,1/4,7,1/5,1/7,1/7,1/8,1/9,1/4,1,1/4,5,1/4,4,1/8,6,1/6,2,3,1/4,1 ; 13 ; 0.0254,0.0393,0.0517,0.0238,0.0406,0.4502,0.0383,0.0254,0.0494,0.0476,0.0882,0.0491,0.0712 ; 0.0254,0.0393,0.0517,0.0238,0.0406,0.4502,0.0383,0.0254,0.0494,0.0476,0.0882,0.0491,0.0712 ; 3.655988 ; 3.655988 ; 3.656 ; 1 
48 ; 0 ; 1/7,1,1/8,1/4,1/7,7 ; 4 ; 0.0405,0.0867,0.7266,0.1463 ; 0.0405,0.0867,0.7266,0.1463 ; 1.472821 ; 1.472821 ; 1.4728 ; 1 
49 ; 0 ; 1,4,4,8,1/4,3 ; 4 ; 0.5921,0.1766,0.0674,0.1639 ; 0.5921,0.1766,0.0674,0.1639 ; 1.106339 ; 1.106339 ; 1.1063 ; 1 
50 ; 0 ; 1/7,1,8,9,1/9,5,1/5,1/7,2,2,1/4,5,2,5,1/9,1/9,4,1/8,1/9,2,6,2,1/8,1/4,1/4,1/4,1/2,6,1/8,6,1/6,3,1/7,1/7,1,5,1,8,1/7,1/5,4,1/6,1/9,4,1,1/8,9,4,7,6,1/2,5,1/5,9,1/9,3,1/9,1,2,7,1/5,1/5,6,1,9,1/4,1/5,1/7,7,6,3,6,4,1/5,1/6,1/4,1/9,2,4,8,2,1/6,2,1/9,1/9,5,3,1/3,3,1/7,2 ; 14 ; 0.06,0.0369,0.0564,0.0456,0.074,0.0446,0.0957,0.0807,0.0587,0.0485,0.1102,0.1159,0.0562,0.1165 ; 0.06,0.0369,0.0564,0.0456,0.074,0.0446,0.0957,0.0807,0.0587,0.0485,0.1102,0.1159,0.0562,0.1165 ; 9.465627 ; 9.465627 ; 9.4656 ; 1 
51 ; 0 ; 1/9,1/7,9,1/3,8,8,1/9,7,1/5,1/6 ; 5 ; 0.0399,0.1105,0.0719,0.0332,0.7444 ; 0.0399,0.1105,0.0719,0.0332,0.7444 ; 1.40114 ; 1.401139 ; 1.4011 ; 1 
52 ; 0 ; 8,1/8,6,3,1/6,7,1/8,8,1/8,1/4,8,1/2,7,1/8,1,5,1/4,1,5,1/2,7,1/2,1/9,8,8,1/2,1/2,9,5,1/9,1,1/6,1,9,6,1/2,9,2,6,1/4,2,9,1/8,1/8,8,1,1/7,3,1/5,7,1,1,7,7,8,5,8,1/5,7,1/9,1/3,7,4,6,1/4,1/4,3,2,3,1/3,1/8,1/3,2,2,1/5,4,1/7,9,5,1/3,1/9,1/4,6,7,5,1/8,8,6,1/4,8,1/7 ; 14 ; 0.0663,0.065,0.1111,0.0821,0.0769,0.0792,0.0763,0.0693,0.0604,0.0789,0.0906,0.0588,0.038,0.0469 ; 0.0663,0.065,0.1111,0.0821,0.0769,0.0792,0.0763,0.0693,0.0604,0.0789,0.0906,0.0588,0.038,0.0469 ; 11.11551 ; 11.11551 ; 11.1155 ; 1 
53 ; 0 ; 5,1/2,8,1/5,2,1/9,8,9,8,1/6,1/2,1/9,5,1/5,3,1/6,1/5,1/6,1/7,8,5,1/8,7,1/7,2,9,1/2,1/6,1/2,1/5,6,4,1/9,3,1,2,6,7,1/5,1/9,5,1/3,3,2,7,1/7,3,1,8,1/9,9,1/4,3,1/4,1/2 ; 11 ; 0.0705,0.0394,0.0949,0.0392,0.0626,0.3785,0.0788,0.0481,0.0549,0.0425,0.0906 ; 0.0705,0.0394,0.0949,0.0392,0.0626,0.3785,0.0788,0.0481,0.0549,0.0425,0.0906 ; 6.476915 ; 6.476915 ; 6.4769 ; 1 
54 ; 0 ; 1/2,1/6,1/3,1,2,1/3,5,4,1/7,1/8,2,1/5,9,1/5,4,2,3,6,1/6,1/4,1/4,6,4,1/6,1/5,9,4,2,3,9,3,8,2,1/9,2,1/7,6,3,1/9,1/9,1/8,7,8,8,1/5 ; 10 ; 0.1037,0.1019,0.1224,0.1681,0.1402,0.0455,0.0611,0.1016,0.0887,0.0669 ; 0.1037,0.1019,0.1224,0.1681,0.1402,0.0455,0.0611,0.1016,0.0887,0.0669 ; 8.61374 ; 8.613739 ; 8.6137 ; 1 
55 ; 0 ; 1,4,1/8,5,1/7,1/6,1/6,1/9,1/2,7,1/6,4,1/4,1/7,2,6,6,1/3,1/5,8,2,6,1/2,1,1/5,5,7,9,1/3,3,7,3,7,1/3,1/7,3,4,1,7,1/2,6,1/6,9,2,7,9,3,4,8,1,9,1/4,7,1,1/8,5,9,1/3,1/6,1/7,7,7,1,1/7,1/2,6 ; 12 ; 0.0421,0.1063,0.1402,0.1153,0.1027,0.1554,0.0525,0.0603,0.0648,0.0392,0.0638,0.0575 ; 0.0421,0.1063,0.1402,0.1153,0.1027,0.1554,0.0525,0.0603,0.0648,0.0392,0.0638,0.0575 ; 7.802687 ; 7.802687 ; 7.8027 ; 1 
